,avg_align,user,date,hashtags,tweet,followers_count,created,verified,url,reply_count,retweet_count,quote_count,like_count,view_count,media,retweeded_tweet,quoted_tweet,in_reply_to_user,mentioned_users,tw_content,Unnamed: 0,domain,l2,l1,n,r1,r2,website,Twitter,twitt_list,handles,vader_sentiment,negative_sentiment,neutral_sentiment,positive_sentiment,compound_sentiment
30,-0.4537,iflscience,2023-02-17 20:00:01+00:00,,"ChatGPT Passes Theory Of Mind Test With Skill Of A 9-Year-Old Kid
https://t.co/DExEHhxJUu",224498,2012-09-21 19:48:33+00:00,True,https://twitter.com/IFLScience/status/1626672839557275659,1,4,1,11,32365.0,,,,,,"ChatGPT Passes Theory Of Mind Test With Skill Of A 9-Year-Old Kid
",120,www.iflscience.com,0.0299,0.9209,0.0491,0.0,0.0001,https://www.iflscience.com,['https://twitter.com/IFLScience'],['https://twitter.com/iflscience'],iflscience,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.08033333333333333,0.8815,0.03816666666666666,-0.04025000000000001
31,-0.4446,bostonglobe,2023-02-23 23:16:51+00:00,,"Innovation Beat: Renowned computer scientist Stephen Wolfram has mixed feelings on the strikingly well-spoken AI system ChatGPT. “It’s pretty challenging to stop a system like this from making stuff up,” he said. https://t.co/kFr8yeQArr",805991,2009-12-08 14:33:38+00:00,True,https://twitter.com/BostonGlobe/status/1628896700461989888,0,1,1,7,8440.0,"[Photo(previewUrl='https://pbs.twimg.com/media/Fkgpqe-XgAEjnNZ?format=png&name=small', fullUrl='https://pbs.twimg.com/media/Fkgpqe-XgAEjnNZ?format=png&name=orig', altText=None)]",,,https://twitter.com/BostonGlobe,"[User(username='GlobeOpinion', id=324962560, displayname='Boston Globe Opinion', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]","Innovation Beat: Renowned computer scientist Stephen Wolfram has mixed feelings on the strikingly well-spoken AI system ChatGPT. “It’s pretty challenging to stop a system like this from making stuff up,” he said. ",123,www.bostonglobe.com,0.3414,0.3056,0.2657,0.0756,0.0118,https://www.bostonglobe.com,['https://twitter.com/BostonGlobe'],['https://twitter.com/bostonglobe'],bostonglobe,"{'neg': 0.056, 'neu': 0.691, 'pos': 0.253, 'compound': 0.7717}",0.01657142857142857,0.8267142857142857,0.15671428571428572,0.41368571428571427
32,-0.4291,nbcwashington,2023-01-31 20:00:04+00:00,,The maker of ChatGPT is trying to curb its reputation as a freewheeling cheating machine with a new tool that can help teachers detect if a student or artificial intelligence wrote that homework. https://t.co/S9nVxLMMhG,355661,2008-06-02 15:06:38+00:00,True,https://twitter.com/nbcwashington/status/1620512257569333248,0,0,0,3,2082.0,,,,,,The maker of ChatGPT is trying to curb its reputation as a freewheeling cheating machine with a new tool that can help teachers detect if a student or artificial intelligence wrote that homework. ,126,www.nbcwashington.com,0.0977,0.4602,0.278,0.1619,0.0021,https://www.nbcwashington.com,['https://twitter.com/nbcwashington'],['https://twitter.com/nbcwashington'],nbcwashington,"{'neg': 0.09, 'neu': 0.727, 'pos': 0.183, 'compound': 0.4019}",0.09,0.727,0.183,0.4019
33,-0.4067,abc7ny,2023-02-06 17:40:54+00:00,,ChatGPT bot channels history to pen State of Union speech https://t.co/ycPqe3FGAT https://t.co/u8IV7BGdWs,774192,2008-10-13 02:33:46+00:00,True,https://twitter.com/ABC7NY/status/1622651563230494740,0,1,0,2,2766.0,"[Photo(previewUrl='https://pbs.twimg.com/media/FoTQ_w_WABkCflD?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FoTQ_w_WABkCflD?format=jpg&name=orig', altText=None)]",,,,,ChatGPT bot channels history to pen State of Union speech  ,134,7online.com,0.0751,0.2747,0.6391,0.0093,0.0018,https://7online.com,['https://twitter.com/ABC7NY'],['https://twitter.com/abc7ny'],abc7ny,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.131,0.7969999999999999,0.072,-0.17
34,-0.4027,wired,2023-02-28 15:00:02+00:00,"['chatgpt', 'bing', 'ai']","High school English teacher @andrewmarzoni, grades assignments written by ChatGPT, including a limerick, a Shakespearean sonnet about Taco Bell, and a five-paragraph essay. How well will the chatbot perform? Can it get an A? https://t.co/Fa8dCvtack",10171874,2007-03-17 09:57:25+00:00,True,https://twitter.com/WIRED/status/1630583610473603078,4,13,4,44,58873.0,"[Video(thumbnailUrl='https://pbs.twimg.com/media/FoTV-IeacAAafDU.jpg', variants=[VideoVariant(url='https://video.twimg.com/amplify_video/1622651931012534273/pl/a1t4kUJkIhR_Hdw5.m3u8?tag=16&container=fmp4', contentType='application/x-mpegURL', bitrate=None), VideoVariant(url='https://video.twimg.com/amplify_video/1622651931012534273/vid/320x320/3PrqCZelNlfX59Do.mp4?tag=16', contentType='video/mp4', bitrate=432000), VideoVariant(url='https://video.twimg.com/amplify_video/1622651931012534273/vid/540x540/HNgJxqzL8bg-2zxi.mp4?tag=16', contentType='video/mp4', bitrate=832000), VideoVariant(url='https://video.twimg.com/amplify_video/1622651931012534273/vid/720x720/GZ6KI9fZ3LghYk7B.mp4?tag=16', contentType='video/mp4', bitrate=1280000), VideoVariant(url='https://video.twimg.com/amplify_video/1622651931012534273/vid/1080x1080/5IrvdYuo4MY-6vnd.mp4?tag=16', contentType='video/mp4', bitrate=8768000)], duration=236.653, views=28890, altText=None)]",,,,"[User(username='andrewmarzoni', id=1535948779, displayname='Andrew Marzoni', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]","High school English teacher @andrewmarzoni, grades assignments written by ChatGPT, including a limerick, a Shakespearean sonnet about Taco Bell, and a five-paragraph essay. How well will the chatbot perform? Can it get an A? ",136,www.wired.com,0.0445,0.6135,0.31,0.0258,0.0061,https://www.wired.com,['https://twitter.com/wired/'],['https://twitter.com/wired'],wired,"{'neg': 0.0, 'neu': 0.931, 'pos': 0.069, 'compound': 0.3527}",0.051875,0.8467916666666667,0.10129166666666667,0.1915625
35,-0.4023,kcstar,2023-02-22 12:40:07+00:00,,ChatGPT can write whole English essays on its own. but students can learn to think for themselves.  https://t.co/2QArBjzLtk,300532,2008-05-30 16:08:18+00:00,True,https://twitter.com/KCStar/status/1628374071611166720,2,0,0,0,3276.0,,,,,,ChatGPT can write whole English essays on its own. but students can learn to think for themselves.  ,137,www.kansascity.com,0.3862,0.3835,0.1385,0.064,0.0279,https://www.kansascity.com,['http://twitter.com/KCStar'],['https://twitter.com/kcstar'],kcstar,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
36,-0.3995,latimes,2023-02-19 16:00:05+00:00,,"For one job seeker @j_dingdingding interviewed, tapping ChatGPT to write their cover letters was a no-brainer. 

“Why not? A bot reads them,” they said. “I’ll get a bot to write them.” https://t.co/hb2kHeIUpL",3995083,2008-10-09 11:07:42+00:00,True,https://twitter.com/latimes/status/1627337232343265281,3,1,0,17,13741.0,,,,https://twitter.com/latimes,"[User(username='j_dingdingding', id=1093778683540590592, displayname='Jaimie Ding', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]","For one job seeker @j_dingdingding interviewed, tapping ChatGPT to write their cover letters was a no-brainer. 

“Why not? A bot reads them,” they said. “I’ll get a bot to write them.” ",139,www.latimes.com,0.2597,0.4813,0.1613,0.0772,0.0205,https://www.latimes.com,['https://twitter.com/latimes'],['https://twitter.com/latimes'],latimes,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0235,0.8911363636363636,0.08536363636363636,0.2896
37,-0.3704,nbcnewyork,2023-02-24 04:59:07+00:00,,"In a test, ChatGPT was asked to write a “news” article describing Michael Bloomberg’s activities since finishing his 3rd term as NYC mayor

It read like a convincing summary but also seemed to make up entirely fabricated quotes from phony anonymous sources
https://t.co/FvwoB1kDsT",360650,2008-08-15 16:16:53+00:00,True,https://twitter.com/NBCNewYork/status/1628982834609225728,1,2,0,1,2024.0,,,,,,"In a test, ChatGPT was asked to write a “news” article describing Michael Bloomberg’s activities since finishing his 3rd term as NYC mayor

It read like a convincing summary but also seemed to make up entirely fabricated quotes from phony anonymous sources
",142,www.nbcnewyork.com,0.0655,0.5105,0.3652,0.0565,0.0023,https://www.nbcnewyork.com,['https://twitter.com/nbcnewyork'],['https://twitter.com/nbcnewyork'],nbcnewyork,"{'neg': 0.0, 'neu': 0.917, 'pos': 0.083, 'compound': 0.3818}",0.08933333333333333,0.8526666666666666,0.057999999999999996,0.06346666666666663
38,-0.3668,phillyinquirer,2023-02-14 21:02:06+00:00,,"Since debuting in November, ChatGPT has been celebrated for acing exams and producing such high-quality homework that the Philadelphia School District decided to ban it.

So @danielrubin decided to put the artificial intelligence tool to the test.
https://t.co/IcstVUZ69p",449777,2008-03-26 01:57:54+00:00,True,https://twitter.com/PhillyInquirer/status/1625601300246278146,1,1,0,2,4297.0,,,,,"[User(username='danielrubin', id=10212582, displayname='Daniel Rubin', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]","Since debuting in November, ChatGPT has been celebrated for acing exams and producing such high-quality homework that the Philadelphia School District decided to ban it.

So @danielrubin decided to put the artificial intelligence tool to the test.
",143,www.philly.com,0.2933,0.3064,0.3035,0.0746,0.0221,https://www.philly.com,['https://twitter.com/phillyinquirer'],['https://twitter.com/phillyinquirer'],phillyinquirer,"{'neg': 0.081, 'neu': 0.766, 'pos': 0.153, 'compound': 0.4939}",0.029400000000000003,0.8634000000000001,0.10700000000000001,0.38378
39,-0.3654,local4news,2023-02-16 23:16:24+00:00,,"Generative AI like ChatGPT is revolutionizing tasks, but as its capabilities grow, regulation and detection software must keep up. https://t.co/JZZCrBTZmF",447138,2009-03-05 17:35:23+00:00,True,https://twitter.com/Local4News/status/1626359871149903872,0,0,2,5,12414.0,,,,,,"Generative AI like ChatGPT is revolutionizing tasks, but as its capabilities grow, regulation and detection software must keep up. ",144,www.clickondetroit.com,0.0685,0.3284,0.5902,0.0088,0.0041,https://www.clickondetroit.com,['https://twitter.com/Local4News/'],['https://twitter.com/local4news'],local4news,"{'neg': 0.0, 'neu': 0.911, 'pos': 0.089, 'compound': 0.1901}",0.045,0.819,0.136,0.296
