session_code,participant_id_in_session,participant_code,page_index,app_name,page_name,epoch_time_completed,round_number,timeout_happened,is_wait_page
grj9bsph,127,7d0dc1pe,11,si_experiment,Revision,1662053487,1,0,0
grj9bsph,126,o3p1pih2,15,si_experiment,PercAccuracy2,1662053490,1,0,0
grj9bsph,125,hks1ovl1,18,si_experiment,SocDist2_1,1662053491,1,0,0
grj9bsph,131,nupqrucl,2,si_experiment,PreQuestions,1662053492,1,0,0
grj9bsph,117,f0x8ntch,17,si_experiment,PostQuestions2,1662053503,1,0,0
grj9bsph,121,qm7ms2df,20,si_experiment,SocDist2,1662053509,1,0,0
grj9bsph,128,mijsuan2,12,si_experiment,PostQuestions,1662053513,1,0,0
grj9bsph,128,mijsuan2,13,si_experiment,Stage2,1662053519,1,0,0
grj9bsph,125,hks1ovl1,19,si_experiment,SocDist1,1662053523,1,0,0
grj9bsph,126,o3p1pih2,16,si_experiment,Revision2,1662053529,1,0,0
grj9bsph,130,c1uhhj8s,2,si_experiment,PreQuestions,1662053530,1,0,0
grj9bsph,129,otw0bacm,8,si_experiment,Task,1662053532,1,0,0
grj9bsph,123,vspg5wlw,14,si_experiment,Task2,1662053534,1,0,0
grj9bsph,117,f0x8ntch,19,si_experiment,SocDist1,1662053543,1,0,0
grj9bsph,123,vspg5wlw,15,si_experiment,PercAccuracy2,1662053548,1,0,0
grj9bsph,131,nupqrucl,8,si_experiment,Task,1662053559,1,0,0
grj9bsph,126,o3p1pih2,17,si_experiment,PostQuestions2,1662053560,1,0,0
grj9bsph,128,mijsuan2,14,si_experiment,Task2,1662053560,1,0,0
grj9bsph,127,7d0dc1pe,12,si_experiment,PostQuestions,1662053564,1,0,0
grj9bsph,123,vspg5wlw,16,si_experiment,Revision2,1662053565,1,0,0
grj9bsph,117,f0x8ntch,20,si_experiment,SocDist2,1662053573,1,0,0
grj9bsph,127,7d0dc1pe,13,si_experiment,Stage2,1662053575,1,0,0
grj9bsph,128,mijsuan2,15,si_experiment,PercAccuracy2,1662053576,1,0,0
grj9bsph,131,nupqrucl,9,si_experiment,PercAccuracy,1662053590,1,0,0
