,wtp_none,wtp_dev,wtp_treateff,woa_none,woa_dev,woa_treateff,g1_sticky_none,g1_sticky_dev,g1_sticky_treateff,g1_predonly_none,g1_predonly_dev,g1_predonly_treateff
"('mig_prolific', 'aggregated weighted', 'dev_stage_cluster')",0.10357472004331121,0.9258257374934872,0.9227613447188122,0.3706833725928344,0.31299192168285134,0.1894226493359776,0.2996967538888607,0.04412132830749786,0.030915370509075907,0.2730473381538251,0.16805214549661113,0.056192001886250106
"('mig_prolific', 'single', 'robust')",0.0751203075150797,0.08611857236787739,0.07936038700488152,0.17076996300508795,0.04285149273370941,0.2553311311793135,0.2709150005213925,0.010238008323630459,0.19287245018802268,0.20189624919091076,0.01773193583732586,0.14477362243653175
"('mig_prolific', 'single', 'dev_cluster')",0.12670955904637746,0.048294934573467056,0.041921703609061015,0.021355239943670456,0.0016501134181736688,0.09803112373848108,0.20605050233828942,0.025653994417130604,0.3334491538536346,0.29250186987746984,0.04167022933358796,0.22838892030010446
"('mig_prolific', 'single', 'task_cluster')",0.2143401214426599,0.2550379613080821,0.1379152904051166,0.0063524394065111916,0.36155243753439364,0.12929310262865107,0.11796260796880721,0.016164157875500313,0.15581375581193796,0.19426275243484567,0.1628087243179877,0.07322784700289517
"('mig_prolific', 'single', 'dev_task_cluster')",0.12328128444854608,0.03488564825894912,0.02527298739683668,0.041864755848941365,0.024376632087874966,0.0700545386852914,0.04780252268609457,0.025846832797122316,0.11193122052079511,0.19245079552191915,0.025798469610611136,0.0743630188473565
"('mig_prolific', 'single', 'stage_cluster')",0.027321059470365065,0.3439071591327726,0.3930912540409455,0.05628257755253476,0.12903625122341858,0.01900693792348735,0.4353293617237986,0.00619048367600176,0.13075340539407274,0.06507845353318602,0.03754176429159813,0.3379194549992295
"('mig_prolific', 'single', 'dev_stage_cluster')",0.03801046510301078,0.06669682951812052,0.07444994395962745,0.08721978241487525,0.042285143652245366,0.19539051388798775,0.25481360739941267,0.04596055299621726,0.2850130795171907,0.32282294872172496,0.0635065749400118,0.23882613033397146
"('mig_prolific', 'single weighted rel', 'robust')",0.2499691760490732,0.0834772970306264,0.23015362263278116,0.20647837462912855,0.11329522784087838,0.47715387904367124,0.2734941038359995,0.0029516965833149113,0.20528695489279536,0.4520079549456506,0.011193736326879216,0.11494456810825318
"('mig_prolific', 'single weighted rel', 'dev_cluster')",0.2733160809965935,0.006212653813928576,0.02979913582307782,0.08851918271746878,0.08166727675213402,0.27678235666948403,0.14585118086943938,0.004219327661854915,0.3054037567130825,0.19820369313022473,0.0004506169716283778,0.18871090069790405
"('mig_prolific', 'single weighted rel', 'task_cluster')",0.4022991440127818,0.08846455463899178,0.018405455855722792,0.07679388718275422,0.48930951666961153,0.20049401129605046,0.39657119717150907,0.13117534683593055,0.09612923534008287,0.1707239529361899,0.12284335532890718,0.07667537384835257
"('mig_prolific', 'single weighted rel', 'dev_task_cluster')",0.306758059768358,0.009957809363620776,0.06866677589644593,0.09998523415955524,0.13216436718535404,0.15503501755080637,0.2226195754663575,0.023693066583645325,0.1095879818183903,0.1812376522689389,0.04250801823845974,0.0575359083305187
"('mig_prolific', 'single weighted rel', 'stage_cluster')",0.2284033188967193,0.32375384025843124,0.5428154719280727,0.2775951720010076,0.16605516597433226,0.350071643043951,0.5387886518275027,0.03815955135636866,0.02163628133892248,0.18418774233286386,0.08354665210268493,0.09538623958561615
"('mig_prolific', 'single weighted rel', 'dev_stage_cluster')",0.15157423641465137,0.04776794229842609,0.18177592524427302,0.21996186345250182,0.11220186190305133,0.31626286686944854,0.3968340218691681,0.021206652595758733,0.22267121119717181,0.4705889095745265,0.005918858439195127,0.23497688100810088
"('mig_prolific', 'single weighted abs', 'robust')",0.18427187448700588,0.058187474193960254,0.1694062252157046,0.3146835182868527,0.09827368851354143,0.2826666499243279,0.13439893837285555,0.00842670791156051,0.10975853226651429,0.34642776407467357,0.02882189873874905,0.11009768165456504
"('mig_prolific', 'single weighted abs', 'dev_cluster')",0.08250804931733963,0.009227239065811518,0.031767967810309515,0.1345904433413071,0.025629003064736103,0.24178491075372194,0.01804170195076504,0.0022848080712941227,0.07521902861745802,0.05330034609665382,0.007611762648571033,0.21813846619505806
"('mig_prolific', 'single weighted abs', 'task_cluster')",0.33070532466122915,0.005495237197864451,0.09835006311144354,0.29442975393631277,0.42974735196976327,0.06308123406089386,0.13770751000683432,0.02586693166297407,0.0634477787702999,0.5856311954018187,0.05749390112025041,0.09395383207908528
"('mig_prolific', 'single weighted abs', 'dev_task_cluster')",0.13003007274772113,0.018574225628654788,0.008382957406675714,0.3710164016889895,0.06959621335122139,0.08075786462666722,0.15397381411774935,0.024116411530682936,0.11424719741085809,0.20489479253240478,0.03232106485294605,0.06207421756451138
"('mig_prolific', 'single weighted abs', 'stage_cluster')",0.12358063207968356,0.3778691557475266,0.47124208273430995,0.3265526448675019,0.2307311962266251,0.20505596888884073,0.4646997729707533,0.012506984230346078,0.21032856650274198,0.27287145138572616,0.04323071668582872,0.15589648970928524
"('mig_prolific', 'single weighted abs', 'dev_stage_cluster')",0.01929796059341595,0.05317413061639697,0.2816005606775853,0.32240253379998607,0.039466492416995874,0.20778947864973946,0.32064035082768555,0.03884676480630032,0.29667939743795585,0.43525004004175766,0.02634947694556678,0.30084109870959413
"('sex_prolific', 'aggregated', 'robust')",0.49063454863403677,0.6157920497898235,0.8901963374170093,0.06363172501951816,0.06517859066788971,0.3884160837251942,0.08844064672612376,0.00046861215274607466,0.4001078231489763,0.0683654242836835,0.005184580504467176,0.2949079162754673
"('sex_prolific', 'aggregated', 'dev_cluster')",0.4637133300118055,0.0631115909404465,0.7106912519042687,0.01100512200780929,0.07864190491193102,0.48045428145719815,0.051843308607934485,0.08122613158421253,0.503240204489144,0.0882082852700534,0.07624259145970785,0.42248089087066787
"('sex_prolific', 'aggregated', 'task_cluster')",0.5776527586049653,0.8584751934795704,0.9682286664425471,0.4001447016798919,0.13584436861226523,0.44869609114654846,0.051933015310588616,0.0940049004599672,0.523097204368128,0.2319915117374783,0.028836356037473133,0.5104611413329119
"('sex_prolific', 'aggregated', 'dev_task_cluster')",0.4551050150695501,0.7464485056140617,0.9207315261788749,0.10340546303260681,0.19844816304850052,0.3511161388096463,0.005028236614659297,0.01048319298986336,0.397114741434966,0.017913012752037716,0.04118409202127778,0.33260472028335986
"('sex_prolific', 'aggregated', 'stage_cluster')",0.5433568856312988,0.8000393926864469,0.9621442558438373,0.06477615522362051,0.0069835627828202405,0.3075355892118575,0.5406373668049855,0.033419897125468924,0.07958989276402066,0.5184653105179208,0.2607019948925892,0.14369135459958501
"('sex_prolific', 'aggregated', 'dev_stage_cluster')",0.44352341852533295,0.6457400511148553,0.9227892050527249,0.07769778077134434,0.1308707382191171,0.308199609630222,0.14763692398796338,0.026400572061604493,0.3581112693605018,0.1383900308364553,0.09723643916372249,0.2965036600316995
"('sex_prolific', 'aggregated weighted', 'robust')",0.3109120910524773,0.9021897150982141,0.896541994590677,0.23457971265834154,0.24932241775898267,0.17524617428085865,0.578832995893681,0.0009632725138497088,0.09409864672824424,0.7534882033551074,0.022417827866864047,0.06423108727145854
"('sex_prolific', 'aggregated weighted', 'dev_cluster')",0.34332146225899396,0.7356445670815033,0.876269872081145,0.03190786543444011,0.17486896050128622,0.15388937311614098,0.5136198621399124,0.07946270110287873,0.23179729153412473,0.5810342855841417,0.13941901452924327,0.18616694013096635
"('sex_prolific', 'aggregated weighted', 'task_cluster')",0.49209734661027277,0.9580495361914982,0.9684982919097276,0.45543345175296696,0.3454372776630775,0.3644814395455547,0.6430462005906693,0.04990485182249064,0.13680444271278677,0.6407156416543989,0.17290085539032057,0.12142963492325988
"('sex_prolific', 'aggregated weighted', 'dev_task_cluster')",0.29651933980873335,0.9324103484340567,0.9246031620326093,0.2623890529409869,0.285300945571877,0.2091642787948564,0.42890054678071016,0.011293517095640077,0.06636361666795167,0.4461003477958921,0.045932817444561035,0.05753848912015492
