Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Total rejections,Approval rate,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6317747d054a662fc2875c64,62fdfb581af51f2bb5f4a27d,APPROVED,2022-09-06T16:25:39.293000Z,2022-09-06T16:34:49.372000Z,2022-09-07T09:05:40.307000,2022-09-06T16:34:50.088275Z,551,CA03AWEI,1,0,100,"English, German, Russian",20,Female,White,Germany,Germany,Germany,Russian,Yes,DATA_EXPIRED
631774ef237f4c437de1854d,610049f68fcfd79e1d227a09,APPROVED,2022-09-06T16:27:30.863000Z,2022-09-06T16:39:22.953000Z,2022-09-07T09:05:30.564000,2022-09-06T16:39:23.348077Z,713,CA03AWEI,37,0,100,"English, German",21,Male,White,Germany,Germany,Germany,German,Yes,Part-Time
63177842d519088387757995,613654c346a50a094157be19,APPROVED,2022-09-06T16:41:43.362000Z,2022-09-06T16:51:20.578000Z,2022-09-07T09:05:40.411000,2022-09-06T16:51:21.007851Z,578,CA03AWEI,246,2,100,"English, German",25,Female,White,Germany,Germany,Germany,German,No,Part-Time
6317790e7369111c4f7d1e71,62dea75b530a154bffa4dffa,APPROVED,2022-09-06T16:45:07.154000Z,2022-09-06T17:02:05.653000Z,2022-09-07T09:05:40.512000,2022-09-06T17:02:06.061391Z,1019,CA03AWEI,50,0,100,"English, German, Turkish",23,Female,White,Germany,Germany,Germany,Turkish,Yes,Part-Time
63177d9dd444bc18630f9dbb,6159c69b6e9debe1d5fab716,APPROVED,2022-09-06T17:04:32.173000Z,2022-09-06T17:13:31.660000Z,2022-09-07T09:05:30.662000,2022-09-06T17:13:32.053429Z,540,CA03AWEI,252,4,98,"German, English",41,Male,White,Germany,Germany,Germany,German,No,Full-Time
63177f540fc761cf4fc17f70,60d551ce15d572b6c3204df7,APPROVED,2022-09-06T17:11:49.804000Z,2022-09-06T17:20:48.144000Z,2022-09-07T09:05:30.761000,2022-09-06T17:20:48.542746Z,539,CA03AWEI,109,0,100,"German, English",23,Male,Mixed,Germany,Germany,Germany,German,DATA_EXPIRED,DATA_EXPIRED
631782c47943e297d74a62b0,5fef771a8f621027bda3ac69,APPROVED,2022-09-06T17:26:31.584000Z,2022-09-06T17:35:41.879000Z,2022-09-07T09:05:30.857000,2022-09-06T17:35:42.288640Z,551,CA03AWEI,197,0,100,German,26,Male,White,Germany,Germany,Germany,German,Yes,Part-Time
6317836f81e370cf2ee14eb5,6106f8856e9c21ffbaa1f764,APPROVED,2022-09-06T17:29:22.531000Z,2022-09-06T17:38:30.572000Z,2022-09-07T09:05:30.953000,2022-09-06T17:38:30.889442Z,549,CA03AWEI,122,1,100,"English, German",20,Male,White,Germany,Germany,Germany,German,No,Full-Time
631783d1b7a3257e5ccb625d,6106f8b6f41dc766064659a1,APPROVED,2022-09-06T17:31:01.977000Z,2022-09-06T17:40:58.424000Z,2022-09-07T09:05:31.049000,2022-09-06T17:40:58.741641Z,597,CA03AWEI,36,1,99,"English, German, Hebrew",26,Male,White,Israel,Germany,Israel,English,No,Full-Time
63178b0c5245c7d484bbd914,610700f4f9547087ee11e1ca,APPROVED,2022-09-06T18:01:51.187000Z,2022-09-06T18:21:55.855000Z,2022-09-07T09:05:40.616000,2022-09-06T18:21:56.245437Z,1205,CA03AWEI,455,7,98,"German, English",26,Female,White,Germany,Germany,Germany,German,Yes,Part-Time
63178bd533cc5d3a415f1686,615416df060f5730a1d4e113,APPROVED,2022-09-06T18:05:09.643000Z,2022-09-06T18:15:53.099000Z,2022-09-07T09:05:31.146000,2022-09-06T18:15:53.565546Z,644,CA03AWEI,310,6,98,"English, German",45,Male,White,Germany,Germany,Germany,German,No,Unemployed (and job seeking)
63178c68a4dd4e299bb7bf0b,60f7f2b2b9debd9b6f7eadfa,APPROVED,2022-09-06T18:07:36.176000Z,2022-09-06T18:21:26.364000Z,2022-09-07T09:05:40.716000,2022-09-06T18:21:26.794010Z,831,CA03AWEI,203,4,98,"Dutch, English, French, German",26,Female,White,Germany,Germany,Germany,German,Yes,DATA_EXPIRED
63178c81ef4fcd4fab66ef6f,62ea9a193e99f420bb3444da,APPROVED,2022-09-06T18:08:08.815000Z,2022-09-06T18:28:39.168000Z,2022-09-07T09:05:31.255000,2022-09-06T18:28:39.899298Z,1231,CA03AWEI,0,0,100,German,47,Male,White,Germany,Germany,Germany,German,No,Full-Time
63178c88d70731ae6f8bb4ed,62fb803b70f978c8954ba6be,APPROVED,2022-09-06T18:08:09.707000Z,2022-09-06T18:14:01.094000Z,2022-09-07T09:05:31.357000,2022-09-06T18:14:01.519819Z,352,CA03AWEI,11,1,97,German,21,Male,White,Germany,Germany,Germany,German,Yes,Full-Time
63178fa261ccebbc8e1000ea,627bfb6a233aed92fe002af0,APPROVED,2022-09-06T18:21:24.500000Z,2022-09-06T18:28:38.582000Z,2022-09-07T09:05:31.456000,2022-09-06T18:28:39.361180Z,435,CA03AWEI,16,0,100,German,20,Male,Other,Germany,Germany,Lebanon,German,No,Unemployed (and job seeking)
631790c46f1a215391e14f22,591aac50ef20c600015d8c5d,APPROVED,2022-09-06T18:26:18.474000Z,2022-09-06T18:37:42.461000Z,2022-09-07T09:05:40.814000,2022-09-06T18:37:42.865655Z,684,CA03AWEI,848,0,100,"German, French, English",27,Female,White,Germany,Germany,Germany,German,No,Full-Time
631797c9112251c3290d2bb2,627c9adcf5e3579f7b45be06,APPROVED,2022-09-06T18:56:17.025000Z,2022-09-06T19:04:24.575000Z,2022-09-07T09:05:31.568000,2022-09-06T19:04:25.075060Z,488,CA03AWEI,12,0,100,"English, German",31,Male,White,Germany,Germany,Germany,German,No,Full-Time
631798e9ff429bdf5ad60526,627d1fff390be58cfbfdfc83,APPROVED,2022-09-06T19:01:00.347000Z,2022-09-06T19:16:41.484000Z,2022-09-07T09:05:31.666000,2022-09-06T19:16:41.814973Z,942,CA03AWEI,60,0,100,"German, English",37,Male,White,Germany,Germany,Germany,German,No,Due to start a new job within the next month
63179b16f8be0b743b0d2bb3,60fd2b32b5743424b54a4b27,APPROVED,2022-09-06T19:10:23.676000Z,2022-09-06T19:22:12.386000Z,2022-09-07T09:05:40.914000,2022-09-06T19:22:12.750860Z,709,CA03AWEI,55,1,100,"English, German",19,Female,White,Germany,Germany,Germany,German,DATA_EXPIRED,DATA_EXPIRED
63179c3177ef299b6ba8aa19,6051eabdeb2164c7f2ea160d,APPROVED,2022-09-06T19:15:02.585000Z,2022-09-06T19:27:09.110000Z,2022-09-07T09:05:31.762000,2022-09-06T19:27:09.599965Z,727,CA03AWEI,86,0,100,"German, English",24,Male,White,Kazakhstan,Germany,Germany,Russian,No,Full-Time
63179d324b0c37391a5954ca,5f6b6d172151da0611d2511f,APPROVED,2022-09-06T19:19:17.541000Z,2022-09-06T19:30:30.160000Z,2022-09-07T09:05:31.856000,2022-09-06T19:30:30.524104Z,673,CA03AWEI,68,1,100,"English, German",25,Male,White,Germany,Germany,Germany,German,No,Full-Time
63179ffea534d337e45d0515,61116f3157613f9e373bcfba,APPROVED,2022-09-06T19:31:13.626000Z,2022-09-06T19:45:40.777000Z,2022-09-07T09:05:41.016000,2022-09-06T19:45:41.167754Z,868,CA03AWEI,60,0,100,"German, English",25,Female,White,Germany,Germany,Germany,German,DATA_EXPIRED,DATA_EXPIRED
6317a022a0b64c4390c8f666,5de41671e3e0cc4129b5e3c1,APPROVED,2022-09-06T19:31:49.750000Z,2022-09-06T19:40:32.314000Z,2022-09-07T09:05:31.950000,2022-09-06T19:40:32.783788Z,523,CA03AWEI,412,0,100,"English, German",40,Male,White,Germany,Germany,Germany,German,DATA_EXPIRED,Full-Time
6317a1d9006a5e1eb9e14f05,6310ae22b1f4c57620b5a412,APPROVED,2022-09-06T19:39:18.600000Z,2022-09-06T19:48:20.417000Z,2022-09-07T09:05:32.048000,2022-09-06T19:48:20.870082Z,542,CA03AWEI,0,0,100,"German, Spanish, English",28,Male,White,Germany,Germany,Germany,German,Yes,Full-Time
6317a20a3b622a56bb83c5b0,5eb47267f0e06d2c99ddbc99,APPROVED,2022-09-06T19:39:59.441000Z,2022-09-06T19:57:51.661000Z,2022-09-07T09:05:41.119000,2022-09-06T19:57:52.098704Z,1073,CA03AWEI,136,0,100,"English, German, Greek",24,Female,White,Germany,Germany,Germany,Greek,Yes,Part-Time
6317a26b38823a4d46b7bee5,5ede5833b53ce60b056de29c,APPROVED,2022-09-06T19:41:31.479000Z,2022-09-06T19:53:06.287000Z,2022-09-07T09:05:41.218000,2022-09-06T19:53:06.615038Z,695,CA03AWEI,76,0,100,"English, German",33,Female,DATA_EXPIRED,Germany,Germany,Germany,German,No,DATA_EXPIRED
6317a70b2a3a73aa84cb6228,6134ad19bd6d245afbd2118b,APPROVED,2022-09-06T20:01:19.916000Z,2022-09-06T20:08:00.915000Z,2022-09-07T09:05:41.317000,2022-09-06T20:08:03.168006Z,401,CA03AWEI,271,7,97,"English, German",21,Female,White,Germany,Germany,Germany,German,Yes,Other
6317a763a7138501d2e14ef6,5e52f484467c4e30a6ca8cf3,APPROVED,2022-09-06T20:02:46.938000Z,2022-09-06T20:11:55.149000Z,2022-09-07T09:05:41.416000,2022-09-06T20:11:55.550510Z,549,CA03AWEI,377,5,99,"German, English",23,Female,White,Germany,Germany,Germany,German,Yes,Part-Time
6317a8dd76e7753ae8b808ec,5b5dfd5e2696a70001eea332,APPROVED,2022-09-06T20:09:05.736000Z,2022-09-06T20:15:41.267000Z,2022-09-07T09:05:32.140000,2022-09-06T20:15:41.617484Z,396,CA03AWEI,457,2,100,"German, English",41,Male,White,Germany,Germany,Germany,German,No,Full-Time
6317aa25c70a5b32cba8aa0d,5c539971116c770001f11b7b,APPROVED,2022-09-06T20:14:32.119000Z,2022-09-06T20:21:53.281000Z,2022-09-07T09:05:41.513000,2022-09-06T20:21:53.657536Z,442,CA03AWEI,1324,1,100,"English, German",38,Female,White,United States,Germany,United States,English,No,Full-Time
6317aca91d23f7d11352f844,60e87cdadc71fdf3aec482b4,APPROVED,2022-09-06T20:25:19.219000Z,2022-09-06T20:39:13.593000Z,2022-09-07T09:05:32.232000,2022-09-06T20:39:14.011035Z,835,CA03AWEI,232,0,100,"German, English",19,Male,White,Germany,Germany,Germany,German,Yes,Full-Time
6317accea902880a33c17fc8,6082e666f316e1cd71c0bd95,APPROVED,2022-09-06T20:25:50.281000Z,2022-09-06T20:33:47.214000Z,2022-09-07T09:05:32.326000,2022-09-06T20:33:47.946887Z,477,CA03AWEI,627,1,100,"English, German",21,Male,White,Germany,Germany,Germany,German,Yes,Full-Time
