session_code,participant_id_in_session,participant_code,page_index,app_name,page_name,epoch_time_completed,round_number,timeout_happened,is_wait_page
grj9bsph,244,7jsxxtq7,0,,InitializeParticipant,1662365873,1,0,0
grj9bsph,239,2slyeq8l,14,si_experiment,Task2,1662365874,1,0,0
grj9bsph,244,7jsxxtq7,1,si_experiment,Intro,1662365877,1,0,0
grj9bsph,242,7nwhvphu,3,si_experiment,Task2_1,1662365878,1,0,0
grj9bsph,238,69iy8dm8,12,si_experiment,PostQuestions,1662365881,1,0,0
grj9bsph,239,2slyeq8l,15,si_experiment,PercAccuracy2,1662365882,1,0,0
grj9bsph,245,z24f4gx6,0,,InitializeParticipant,1662365883,1,0,0
grj9bsph,238,69iy8dm8,13,si_experiment,Stage2,1662365886,1,0,0
grj9bsph,227,njebqmp4,17,si_experiment,PostQuestions2,1662365889,1,0,0
grj9bsph,246,mkc3uc7d,0,,InitializeParticipant,1662365892,1,0,0
grj9bsph,239,2slyeq8l,16,si_experiment,Revision2,1662365894,1,0,0
grj9bsph,243,n6489lwu,1,si_experiment,Intro,1662365897,1,0,0
grj9bsph,245,z24f4gx6,1,si_experiment,Intro,1662365906,1,0,0
grj9bsph,246,mkc3uc7d,1,si_experiment,Intro,1662365912,1,0,0
grj9bsph,240,bp8l2h7r,12,si_experiment,PostQuestions,1662365915,1,0,0
grj9bsph,240,bp8l2h7r,13,si_experiment,Stage2,1662365921,1,0,0
grj9bsph,239,2slyeq8l,17,si_experiment,PostQuestions2,1662365933,1,0,0
grj9bsph,241,t8z35uev,8,si_experiment,Task,1662365933,1,0,0
grj9bsph,238,69iy8dm8,14,si_experiment,Task2,1662365939,1,0,0
grj9bsph,227,njebqmp4,19,si_experiment,SocDist1,1662365945,1,0,0
grj9bsph,242,7nwhvphu,4,si_experiment,PercAccuracy2_1,1662365947,1,0,0
grj9bsph,243,n6489lwu,2,si_experiment,PreQuestions,1662365954,1,0,0
grj9bsph,244,7jsxxtq7,2,si_experiment,PreQuestions,1662365958,1,0,0
grj9bsph,240,bp8l2h7r,14,si_experiment,Task2,1662365962,1,0,0
grj9bsph,238,69iy8dm8,15,si_experiment,PercAccuracy2,1662365968,1,0,0
grj9bsph,240,bp8l2h7r,15,si_experiment,PercAccuracy2,1662365969,1,0,0
grj9bsph,247,w9cxoyua,0,,InitializeParticipant,1662365982,1,0,0
grj9bsph,242,7nwhvphu,5,si_experiment,Revision2_1,1662365983,1,0,0
grj9bsph,227,njebqmp4,20,si_experiment,SocDist2,1662365984,1,0,0
grj9bsph,238,69iy8dm8,16,si_experiment,Revision2,1662365985,1,0,0
grj9bsph,245,z24f4gx6,2,si_experiment,PreQuestions,1662365987,1,0,0
grj9bsph,246,mkc3uc7d,2,si_experiment,PreQuestions,1662365988,1,0,0
grj9bsph,240,bp8l2h7r,16,si_experiment,Revision2,1662366007,1,0,0
grj9bsph,241,t8z35uev,9,si_experiment,PercAccuracy,1662366009,1,0,0
grj9bsph,247,w9cxoyua,1,si_experiment,Intro,1662366022,1,0,0
grj9bsph,240,bp8l2h7r,17,si_experiment,PostQuestions2,1662366032,1,0,0
grj9bsph,248,udzpin37,0,,InitializeParticipant,1662366042,1,0,0
grj9bsph,242,7nwhvphu,6,si_experiment,PostQuestions2_1,1662366051,1,0,0
grj9bsph,238,69iy8dm8,17,si_experiment,PostQuestions2,1662366053,1,0,0
grj9bsph,243,n6489lwu,8,si_experiment,Task,1662366055,1,0,0
grj9bsph,242,7nwhvphu,7,si_experiment,Stage2_1,1662366055,1,0,0
grj9bsph,249,gpp8aike,0,,InitializeParticipant,1662366065,1,0,0
grj9bsph,244,7jsxxtq7,8,si_experiment,Task,1662366081,1,0,0
grj9bsph,246,mkc3uc7d,8,si_experiment,Task,1662366083,1,0,0
grj9bsph,249,gpp8aike,1,si_experiment,Intro,1662366085,1,0,0
grj9bsph,243,n6489lwu,9,si_experiment,PercAccuracy,1662366093,1,0,0
grj9bsph,241,t8z35uev,10,si_experiment,WTP,1662366098,1,0,0
grj9bsph,245,z24f4gx6,3,si_experiment,Task2_1,1662366105,1,0,0
grj9bsph,247,w9cxoyua,2,si_experiment,PreQuestions,1662366105,1,0,0
grj9bsph,244,7jsxxtq7,9,si_experiment,PercAccuracy,1662366110,1,0,0
grj9bsph,250,nrf78q1b,0,,InitializeParticipant,1662366117,1,0,0
grj9bsph,235,wgjevm3l,8,si_experiment,Task,1662366122,1,0,0
grj9bsph,250,nrf78q1b,1,si_experiment,Intro,1662366127,1,0,0
grj9bsph,243,n6489lwu,10,si_experiment,WTP,1662366133,1,0,0
grj9bsph,241,t8z35uev,11,si_experiment,Revision,1662366138,1,0,0
grj9bsph,248,udzpin37,1,si_experiment,Intro,1662366140,1,0,0
grj9bsph,246,mkc3uc7d,9,si_experiment,PercAccuracy,1662366153,1,0,0
grj9bsph,243,n6489lwu,11,si_experiment,Revision,1662366163,1,0,0
grj9bsph,235,wgjevm3l,9,si_experiment,PercAccuracy,1662366166,1,0,0
grj9bsph,242,7nwhvphu,8,si_experiment,Task,1662366170,1,0,0
grj9bsph,251,9z3sq9az,0,,InitializeParticipant,1662366179,1,0,0
grj9bsph,242,7nwhvphu,9,si_experiment,PercAccuracy,1662366179,1,0,0
grj9bsph,245,z24f4gx6,4,si_experiment,PercAccuracy2_1,1662366180,1,0,0
grj9bsph,251,9z3sq9az,1,si_experiment,Intro,1662366188,1,0,0
grj9bsph,250,nrf78q1b,2,si_experiment,PreQuestions,1662366196,1,0,0
grj9bsph,235,wgjevm3l,10,si_experiment,WTP,1662366210,1,0,0
