,domain,avg_align,l2,l1,n,r1,r2,website,Twitter
96,battleforthenet.com,-0.5612,0.0,1.0,0.0,0.0,0.0,https://battleforthenet.com,"[""https://twitter.com/intent/tweet?text=Net%20neutrality%20opponents%20are%20targeting%20Gigi%20Sohn%20with%20a%20homophobic%20smear%20campaign.%20Why%20haven't%20Dems%20condemned%20these%20bigoted%20attacks%3F%20Sign%20the%20petition%3A%20battleforthenet.com""]"
97,alternativemediasyndicate.com,-0.5579,0.0859,0.8821,0.032,0.0,0.0,https://alternativemediasyndicate.com,['down']
98,countercurrentnews.com,-0.556,0.071,0.8636,0.0625,0.003,0.0,https://countercurrentnews.com,['down']
99,www.theonion.com,-0.5516,0.1887,0.7312,0.0794,0.0005,0.0001,https://www.theonion.com,['https://twitter.com/theonion']
100,www.nytimes.com,-0.5469,0.4281,0.3689,0.1255,0.0749,0.0027,https://www.nytimes.com,['https://twitter.com/nytimes']
101,www.theatlantic.com,-0.5424,0.3608,0.5057,0.1155,0.0163,0.0018,https://www.theatlantic.com,['https://twitter.com/TheAtlantic']
102,www.pbs.org,-0.5393,0.1467,0.7293,0.0753,0.0464,0.0022,https://www.pbs.org,['https://twitter.com/PBS']
103,www.whitehouse.gov,-0.5325,0.4957,0.3248,0.1266,0.0499,0.003,https://www.whitehouse.gov,"['https://twitter.com/whitehouse', 'https://twitter.com/POTUS/status/1631767886388686852', 'https://twitter.com/POTUS/status/1633489007073181696', 'https://twitter.com/POTUS/status/1632410644161994754']"
104,hemp.org,-0.5268,0.0888,0.8613,0.0483,0.0015,0.0,https://hemp.org,[]
105,www.buzzfeed.com,-0.5242,0.2537,0.4295,0.2777,0.0337,0.0054,https://www.buzzfeed.com,['https://twitter.com/BuzzFeed']
106,www.hightimes.com,-0.5232,0.0148,0.957,0.0279,0.0003,0.0,https://www.hightimes.com,['https://twitter.com/high_times_mag']
107,fivethirtyeight.com,-0.5225,0.7152,0.218,0.061,0.0052,0.0007,https://fivethirtyeight.com,"['https://twitter.com/FiveThirtyEight', 'https://twitter.com/fivethirtyeight']"
108,www.haaretz.com,-0.504,0.3243,0.4004,0.187,0.0839,0.0045,https://www.haaretz.com,[]
109,6abc.com,-0.5037,0.0925,0.406,0.4659,0.0349,0.0007,https://6abc.com,['https://twitter.com/6abc']
110,abc7chicago.com,-0.503,0.1239,0.4502,0.3851,0.0389,0.0019,https://abc7chicago.com,['https://twitter.com/abc7chicago']
111,www.nbcbayarea.com,-0.5023,0.2271,0.5329,0.2262,0.0124,0.0013,https://www.nbcbayarea.com,['https://twitter.com/nbcbayarea']
112,www.ted.com,-0.4859,0.049,0.8185,0.1234,0.0074,0.0017,https://www.ted.com,['https://twitter.com/tedtalks']
113,www.politifact.com,-0.4802,0.4754,0.431,0.0514,0.0208,0.0213,https://www.politifact.com,['https://twitter.com/Politifact/']
114,www.tampabay.com,-0.4745,0.5919,0.2405,0.1056,0.0421,0.0199,https://www.tampabay.com,['https://www.twitter.com/TB_Times']
115,qz.com,-0.4713,0.3859,0.4177,0.1855,0.0062,0.0047,https://qz.com,['https://twitter.com/qz']
116,earthweareone.com,-0.4698,0.0317,0.946,0.0188,0.0035,0.0,https://earthweareone.com,['down']
117,www.huffingtonpost.ca,-0.469,0.2037,0.1846,0.5069,0.1024,0.0024,https://www.huffingtonpost.ca,['https://www.twitter.com/HuffPost']
118,www.freep.com,-0.4596,0.2845,0.4516,0.1895,0.0458,0.0286,https://www.freep.com,['https://twitter.com/freep']
119,www.thedailybeast.com,-0.4561,0.2756,0.4463,0.1215,0.1393,0.0173,https://www.thedailybeast.com,['https://twitter.com/thedailybeast']
120,www.iflscience.com,-0.4537,0.0299,0.9209,0.0491,0.0,0.0001,https://www.iflscience.com,['https://twitter.com/IFLScience']
121,uproxx.com,-0.4468,0.1885,0.6115,0.1867,0.0133,0.0,https://uproxx.com,['https://twitter.com/UPROXX']
122,www.wusa9.com,-0.4447,0.0902,0.5828,0.2755,0.0515,0.0,https://www.wusa9.com,[]
123,www.bostonglobe.com,-0.4446,0.3414,0.3056,0.2657,0.0756,0.0118,https://www.bostonglobe.com,['https://twitter.com/BostonGlobe']
124,www.cleveland.com,-0.4428,0.1802,0.4955,0.2325,0.0826,0.0093,https://www.cleveland.com,['https://twitter.com/clevelanddotcom']
125,hightimes.com,-0.4301,0.0,0.9656,0.0344,0.0,0.0,https://hightimes.com,['https://twitter.com/high_times_mag']
126,www.nbcwashington.com,-0.4291,0.0977,0.4602,0.278,0.1619,0.0021,https://www.nbcwashington.com,['https://twitter.com/nbcwashington']
127,news.vice.com,-0.4284,0.1333,0.6371,0.2143,0.0139,0.0014,https://news.vice.com,['https://twitter.com/vice']
128,investigations.peta.org,-0.4281,0.0,1.0,0.0,0.0,0.0,https://investigations.peta.org,[]
129,www.huffingtonpost.co.uk,-0.4205,0.3074,0.2002,0.4776,0.0133,0.0015,https://www.huffingtonpost.co.uk,['https://www.twitter.com/HuffPostUK']
130,huzlers.com,-0.4188,0.001,0.1645,0.8336,0.0,0.0009,https://huzlers.com,['https://twitter.com/intent/tweet?url=https://huzlers.com/watch/capoeira-fight-best-crazy-capoeira-in-mma_dA6A4jry5bjxgMj.html']
131,www.presstv.ir,-0.4142,0.1495,0.5204,0.2566,0.0588,0.0147,https://www.presstv.ir,['https://twitter.com/PressTV']
132,ashable.com,-0.4106,0.1874,0.387,0.3678,0.0546,0.0032,https://ashable.com,['down']
133,anonhq.com,-0.4102,0.0005,0.8179,0.1816,0.0,0.0,https://anonhq.com,['https://twitter.com/AnonymousNewsHQ']
134,7online.com,-0.4067,0.0751,0.2747,0.6391,0.0093,0.0018,https://7online.com,['https://twitter.com/ABC7NY']
135,www.jsonline.com,-0.4045,0.5193,0.168,0.1575,0.0622,0.0929,https://www.jsonline.com,['http://twitter.com/journalsentinel/']
136,www.wired.com,-0.4027,0.0445,0.6135,0.31,0.0258,0.0061,https://www.wired.com,['https://twitter.com/wired/']
137,www.kansascity.com,-0.4023,0.3862,0.3835,0.1385,0.064,0.0279,https://www.kansascity.com,['http://twitter.com/KCStar']
138,themindunleashed.org,-0.4008,0.0025,0.8098,0.1877,0.0,0.0,https://themindunleashed.org,['https://twitter.com/unleashmind']
139,www.latimes.com,-0.3995,0.2597,0.4813,0.1613,0.0772,0.0205,https://www.latimes.com,['https://twitter.com/latimes']
140,filmingcops.com,-0.389,0.0015,0.8157,0.1821,0.0006,0.0001,https://filmingcops.com,[]
141,dailycurrant.com,-0.375,0.1463,0.4309,0.1162,0.3066,0.0,https://dailycurrant.com,['down']
142,www.nbcnewyork.com,-0.3704,0.0655,0.5105,0.3652,0.0565,0.0023,https://www.nbcnewyork.com,['https://twitter.com/nbcnewyork']
143,www.philly.com,-0.3668,0.2933,0.3064,0.3035,0.0746,0.0221,https://www.philly.com,['https://twitter.com/phillyinquirer']
144,www.clickondetroit.com,-0.3654,0.0685,0.3284,0.5902,0.0088,0.0041,https://www.clickondetroit.com,['https://twitter.com/Local4News/']
145,thefreethoughtproject.com,-0.3618,0.0191,0.7108,0.2692,0.0008,0.0001,https://thefreethoughtproject.com,[]
146,www.independent.co.uk,-0.3598,0.1904,0.4933,0.2079,0.0781,0.0304,https://www.independent.co.uk,['https://twitter.com/Independent']
147,wgntv.com,-0.3593,0.0427,0.5848,0.2707,0.0994,0.0025,https://wgntv.com,[]
148,theantimedia.org,-0.3584,0.0032,0.8089,0.1861,0.0017,0.0,https://theantimedia.org,['https://twitter.com/libertasbella']
149,www.local10.com,-0.3545,0.0344,0.2441,0.6994,0.0205,0.0016,https://www.local10.com,['https://twitter.com/WPLGLocal10/']
150,www.wxyz.com,-0.3539,0.0662,0.3532,0.5462,0.033,0.0015,https://www.wxyz.com,['https://twitter.com/wxyzdetroit']
151,www.myfoxdetroit.com,-0.3483,0.058,0.6436,0.2821,0.0144,0.0018,https://www.myfoxdetroit.com,['down']
152,www.change.org,-0.3442,0.2275,0.2548,0.243,0.2301,0.0447,https://www.change.org,['https://twitter.com/ChangeGER']
153,www.myfoxchicago.com,-0.342,0.0185,0.5575,0.4087,0.0131,0.0021,https://www.myfoxchicago.com,['down']
154,www.miamiherald.com,-0.3418,0.3308,0.4055,0.1951,0.0507,0.018,https://www.miamiherald.com,['https://twitter.com/miamiherald']
155,www.nbcchicago.com,-0.3416,0.1363,0.3201,0.4343,0.0999,0.0094,https://www.nbcchicago.com,['https://twitter.com/nbcchicago']
156,time.com,-0.3336,0.2594,0.3651,0.2387,0.1072,0.0298,https://time.com,['https://twitter.com/time']
157,www.bbc.co.uk,-0.3313,0.0784,0.5507,0.336,0.0284,0.0065,https://www.bbc.co.uk,['https://twitter.com/BBC']
158,www.nbcphiladelphia.com,-0.3285,0.0737,0.5449,0.3026,0.0769,0.0019,https://www.nbcphiladelphia.com,['https://twitter.com/nbcphiladelphia']
159,www.oregonlive.com,-0.3203,0.1426,0.485,0.1323,0.1775,0.0627,https://www.oregonlive.com,['https://twitter.com/Oregonian']
160,briefly.today,-0.3198,0.0921,0.0142,0.8471,0.0,0.0465,https://briefly.today,['down']
161,www.wjla.com,-0.3195,0.0871,0.4446,0.3086,0.1435,0.0162,https://www.wjla.com,['https://twitter.com/7newsdc']
162,www.mlive.com,-0.3186,0.1699,0.3374,0.3744,0.1007,0.0176,https://www.mlive.com,['https://twitter.com/mlive/']
163,www.economist.com,-0.3173,0.0623,0.5229,0.3545,0.0585,0.0018,https://www.economist.com,['https://www.twitter.com/theeconomist']
164,www.chicagotribune.com,-0.3117,0.2086,0.3793,0.2949,0.0893,0.0279,https://www.chicagotribune.com,['https://twitter.com/chicagotribune']
165,abc7.com,-0.31,0.1301,0.3264,0.4026,0.1345,0.0065,https://abc7.com,['https://twitter.com/abc7']
166,www.stltoday.com,-0.309,0.1738,0.338,0.3954,0.0806,0.0122,https://www.stltoday.com,['https://twitter.com/stltoday']
167,www.collective-evolution.com,-0.3014,0.0004,0.2856,0.7061,0.0076,0.0003,https://www.collective-evolution.com,['https://twitter.com/collectiveevol']
168,gizmodo.com,-0.3002,0.0206,0.6327,0.324,0.0219,0.0008,https://gizmodo.com,['https://twitter.com/gizmodo']
169,www.nj.com,-0.2969,0.1198,0.3462,0.4338,0.0884,0.0119,https://www.nj.com,['https://twitter.com/njdotcom']
170,vimeo.com,-0.2916,0.4595,0.1619,0.0934,0.1376,0.1476,https://vimeo.com,['https://twitter.com/Vimeo – Video Experience Platform']
171,www.nbcnews.com,-0.2735,0.0494,0.4467,0.4368,0.0641,0.003,https://www.nbcnews.com,['https://www.twitter.com/nbcnews']
172,www.newsweek.com,-0.2726,0.2297,0.5144,0.1681,0.0778,0.01,https://www.newsweek.com,['https://twitter.com/Newsweek']
173,www.cnn.com,-0.2705,0.0372,0.5139,0.3944,0.0452,0.0093,https://www.cnn.com,['//twitter.com/cnni']
174,www.patheos.com,-0.2624,0.4381,0.2407,0.1222,0.0532,0.1459,https://www.patheos.com,['https://twitter.com/Patheos']
175,edition.cnn.com,-0.2615,0.0475,0.4382,0.4606,0.05,0.0037,https://edition.cnn.com,['//twitter.com/cnni']
176,www.businessweek.com,-0.2615,0.16,0.3551,0.3364,0.1224,0.0261,https://www.businessweek.com,"['https://twitter.com/bloomberg', 'https://twitter.com/bw']"
177,www.bbc.com,-0.2609,0.1099,0.474,0.3527,0.0551,0.0083,https://www.bbc.com,[]
178,www.theverge.com,-0.2609,0.0682,0.4738,0.4438,0.0128,0.0014,https://www.theverge.com,['https://twitter.com/verge']
179,yournewswire.com,-0.2572,0.04,0.3849,0.4454,0.1222,0.0075,https://yournewswire.com,['https://twitter.com/Homepage - yournewswire']
180,chicago.cbslocal.com,-0.2568,0.1648,0.1308,0.1721,0.5205,0.0117,https://chicago.cbslocal.com,"['https://www.twitter.com/cbschicago/', 'https://twitter.com/CBSchicago']"
181,www.washingtonpost.com,-0.2568,0.2089,0.3615,0.2132,0.1598,0.0567,https://www.washingtonpost.com,['https://twitter.com/WashingtonPost']
182,oney.cnn.com,-0.2565,0.0416,0.4745,0.4516,0.0298,0.0024,https://oney.cnn.com,['down']
183,elitedaily.com,-0.2558,0.0086,0.1559,0.7929,0.0411,0.0016,https://elitedaily.com,['https://twitter.com/EliteDaily/']
184,www.globalresearch.ca,-0.252,0.0563,0.3456,0.3787,0.2139,0.0054,https://www.globalresearch.ca,['https://twitter.com/CRG_CRM']
185,www.nbclosangeles.com,-0.2456,0.0674,0.448,0.4248,0.0515,0.0082,https://www.nbclosangeles.com,['https://twitter.com/nbcla']
186,newjersey.news12.com,-0.2447,0.0542,0.294,0.6268,0.0231,0.0018,https://newjersey.news12.com,['https://twitter.com/News12NJ']
187,www.kgw.com,-0.2359,0.0366,0.4823,0.4621,0.0156,0.0033,https://www.kgw.com,[]
188,nydailynews.com,-0.2295,0.1907,0.2693,0.3784,0.1542,0.0074,https://nydailynews.com,['down']
189,ktla.com,-0.2287,0.17,0.3056,0.3242,0.1931,0.0072,https://ktla.com,[]
190,www.wpxi.com,-0.2221,0.0465,0.2302,0.6782,0.0424,0.0027,https://www.wpxi.com,['https://twitter.com/wpxi/']
191,www.hlntv.com,-0.2211,0.0061,0.2287,0.7574,0.0069,0.001,https://www.hlntv.com,['down']
192,twitter.com,-0.2177,0.4426,0.1053,0.1258,0.1201,0.2062,https://twitter.com,"['https://twitter.com/tos', 'https://support.twitter.com/articles/20170514', 'https://legal.twitter.com/imprint.html', 'https://twitter.com/privacy', 'https://help.twitter.com/using-twitter/twitter-supported-browsers', 'https://business.twitter.com/en/help/troubleshooting/how-twitter-ads-work.html?ref=web-twc-ao-gbl-adsinfo&utm_source=twc&utm_medium=web&utm_campaign=ao&utm_content=adsinfo']"
193,www.nola.com,-0.2175,0.1882,0.3151,0.2893,0.1415,0.066,https://www.nola.com,['https://twitter.com/nolanews']
194,www.wftv.com,-0.2162,0.0233,0.4287,0.4862,0.0565,0.0053,https://www.wftv.com,['https://twitter.com/wftv/']
195,en.wikipedia.org,-0.2145,0.1241,0.3189,0.3352,0.1607,0.0611,https://en.wikipedia.org,[]
196,www.nydailynews.com,-0.2139,0.1461,0.3943,0.2983,0.1445,0.0168,https://www.nydailynews.com,[]
197,www.kctv5.com,-0.2071,0.0252,0.1974,0.6986,0.0709,0.0079,https://www.kctv5.com,['https://www.twitter.com/kctv5']
198,www.people.com,-0.2034,0.017,0.247,0.7051,0.0296,0.0013,https://www.people.com,['https://twitter.com/people']
199,bigstory.ap.org,-0.2022,0.3084,0.2015,0.224,0.1324,0.1337,https://bigstory.ap.org,['down']
200,newyork.cbslocal.com,-0.2017,0.0483,0.2296,0.5132,0.1975,0.0114,https://newyork.cbslocal.com,"['https://twitter.com/CBSnewyork/', 'https://twitter.com/CBSNewYork']"
201,www.ora.tv,-0.2014,0.0004,0.7156,0.2391,0.0434,0.0015,https://www.ora.tv,['down']
202,www.denverpost.com,-0.2012,0.228,0.3503,0.2763,0.1082,0.0372,https://www.denverpost.com,['https://twitter.com/denverpost']
203,petitions.whitehouse.gov,-0.2005,0.2485,0.3023,0.1295,0.103,0.2168,https://petitions.whitehouse.gov,"['https://twitter.com/whitehouse', 'https://twitter.com/POTUS/status/1631767886388686852', 'https://twitter.com/POTUS/status/1633489007073181696', 'https://twitter.com/POTUS/status/1632410644161994754']"
204,www.nbcconnecticut.com,-0.1992,0.0145,0.2984,0.6606,0.0198,0.0067,https://www.nbcconnecticut.com,['https://twitter.com/nbcconnecticut']
205,www.courant.com,-0.1968,0.0346,0.0986,0.7826,0.0689,0.0153,https://www.courant.com,['https://twitter.com/hartfordcourant']
206,foxbaltimore.com,-0.1907,0.0342,0.4627,0.3849,0.0775,0.0408,https://foxbaltimore.com,['https://twitter.com/http://twitter.com/foxbaltimore']
207,www.kirotv.com,-0.1907,0.0225,0.2303,0.6444,0.0969,0.0058,https://www.kirotv.com,['https://twitter.com/KIRO7Seattle/']
208,abc11.com,-0.19,0.074,0.3381,0.4908,0.0926,0.0045,https://abc11.com,['https://twitter.com/ABC11_WTVD']
209,www.wcvb.com,-0.185,0.0272,0.3479,0.5806,0.0408,0.0034,https://www.wcvb.com,[]
210,theweek.com,-0.1809,0.1754,0.1858,0.273,0.3507,0.0152,https://theweek.com,['https://twitter.com/TheWeek']
211,pittsburgh.cbslocal.com,-0.1747,0.1059,0.1431,0.6705,0.0564,0.0241,https://pittsburgh.cbslocal.com,['https://twitter.com/KDKA']
212,bangordailynews.com,-0.1732,0.1389,0.1918,0.3944,0.236,0.039,https://bangordailynews.com,['https://twitter.com/bangordailynews']
213,www.azcentral.com,-0.1731,0.2588,0.2675,0.2794,0.1725,0.0218,https://www.azcentral.com,['https://twitter.com/azcentral']
214,www.wfsb.com,-0.1726,0.0205,0.4086,0.5298,0.0386,0.0026,https://www.wfsb.com,['https://www.twitter.com/wfsbnews']
215,fox8.com,-0.1676,0.0172,0.2584,0.6883,0.0338,0.0024,https://fox8.com,[]
216,www.today.com,-0.1668,0.0064,0.2203,0.7328,0.0387,0.0019,https://www.today.com,['https://www.twitter.com/TODAYshow']
217,www.komonews.com,-0.1643,0.0394,0.2861,0.5702,0.096,0.0083,https://www.komonews.com,['https://twitter.com/komonews']
218,sacramento.cbslocal.com,-0.1622,0.0574,0.3573,0.4637,0.0942,0.0274,https://sacramento.cbslocal.com,"['https://twitter.com/cbssacramento', 'https://twitter.com/CBSSacramento/']"
219,abcnews.go.com,-0.1605,0.0505,0.2642,0.5222,0.1082,0.0548,https://abcnews.go.com,['https://twitter.com/abc']
220,www.bloomberg.com,-0.1565,0.1124,0.2377,0.3086,0.223,0.1183,https://www.bloomberg.com,['https://twitter.com/business']
221,www.kmov.com,-0.1538,0.0599,0.2601,0.5578,0.1144,0.0079,https://www.kmov.com,['https://www.twitter.com/KMOV']
222,www.foreignpolicy.com,-0.1516,0.054,0.3584,0.5113,0.0533,0.023,https://www.foreignpolicy.com,['https://twitter.com/foreignpolicy']
223,topinfopost.com,-0.1502,0.0073,0.6837,0.2701,0.0347,0.0043,https://topinfopost.com,['down']
224,rt.com,-0.1488,0.0157,0.3891,0.5164,0.075,0.0037,https://rt.com,['down']
225,www.ibtimes.com,-0.1405,0.1825,0.351,0.2039,0.2177,0.0448,https://www.ibtimes.com,['https://twitter.com/ibtimes']
226,fox2now.com,-0.1395,0.0127,0.2088,0.652,0.126,0.0004,https://fox2now.com,[]
227,www.politico.com,-0.1334,0.1215,0.2799,0.2149,0.2573,0.1264,https://www.politico.com,['https://twitter.com/politico']
228,www.mediaite.com,-0.1326,0.174,0.2657,0.1785,0.2062,0.1757,https://www.mediaite.com,['https://twitter.com/mediaite']
229,www.baltimoresun.com,-0.1321,0.0959,0.3362,0.2029,0.3162,0.0488,https://www.baltimoresun.com,[]
230,www.cbsnews.com,-0.127,0.1373,0.2552,0.4506,0.1309,0.0259,https://www.cbsnews.com,['https://twitter.com/CBSNews']
231,www.myfoxtwincities.com,-0.1171,0.0331,0.2195,0.6817,0.0624,0.0034,https://www.myfoxtwincities.com,['down']
232,www.nbcsandiego.com,-0.1038,0.0211,0.2682,0.6178,0.0858,0.0072,https://www.nbcsandiego.com,['https://twitter.com/nbcsandiego']
233,www.ksdk.com,-0.1001,0.0413,0.1456,0.7159,0.0904,0.0068,https://www.ksdk.com,[]
234,www.10tv.com,-0.0984,0.0203,0.2057,0.693,0.0744,0.0065,https://www.10tv.com,[]
235,www.wfmz.com,-0.0973,0.0257,0.1756,0.6908,0.1002,0.0078,https://www.wfmz.com,"['https://twitter.com/intent/tweet?&text=Val%20Arkoosh%E2%80%99s%20Undeserved%20Promotion%20to%20Secretary%20of%20Human%20Services&via=69News&url=https%3A%2F%2Fwww.wfmz.com%2Ffeatures%2Fthink-tank%2Fval-arkoosh-s-undeserved-promotion-to-secretary-of-human-services%2Farticle_eab38384-9692-11ed-85df-2b3c7db38305.html%3Futm_medium%3Dsocial%26utm_source%3Dtwitter%26utm_campaign%3Duser-share', 'https://twitter.com/69News/', 'https://twitter.com/intent/tweet?&text=An%20open%20letter%20to%20the%20residents%20of%20Cumru%20Township&via=69News&url=https%3A%2F%2Fwww.wfmz.com%2Ffeatures%2Fthink-tank%2Fan-open-letter-to-the-residents-of-cumru-township%2Farticle_ac67f0d2-a278-11ed-ae2a-07e8a7245ef8.html%3Futm_medium%3Dsocial%26utm_source%3Dtwitter%26utm_campaign%3Duser-share', 'https://twitter.com/intent/tweet?&text=There%27s%20a%20better%20way%20to%20tame%20inflation&via=69News&url=https%3A%2F%2Fwww.wfmz.com%2Ffeatures%2Fthink-tank%2Ftheres-a-better-way-to-tame-inflation%2Farticle_3ed688dc-181a-11ed-a460-8bc70aba133c.html%3Futm_medium%3Dsocial%26utm_source%3Dtwitter%26utm_campaign%3Duser-share', 'http://twitter.com/69News/', 'https://twitter.com/intent/tweet?&text=Advanced%20Recycling%20Improves%20Pennsylvania%E2%80%99s%20Economy%20and%20Environment&via=69News&url=https%3A%2F%2Fwww.wfmz.com%2Ffeatures%2Fthink-tank%2Fadvanced-recycling-improves-pennsylvania-s-economy-and-environment%2Farticle_fbaad542-b3a3-11ed-bd31-fb3c2cdcac1b.html%3Futm_medium%3Dsocial%26utm_source%3Dtwitter%26utm_campaign%3Duser-share']"
236,www.reuters.com,-0.0945,0.0973,0.2818,0.3729,0.1829,0.0652,https://www.reuters.com,['https://www.twitter.com/Reuters']
237,fox6now.com,-0.0939,0.0254,0.216,0.6701,0.0815,0.0071,https://fox6now.com,"['https://twitter.com/fox6now', 'https://twitter.com/fox6weather']"
238,www.wsbtv.com,-0.0872,0.0247,0.2159,0.5769,0.1715,0.011,https://www.wsbtv.com,['https://twitter.com/wsbtv/']
239,www.msn.com,-0.084,0.0184,0.2891,0.5583,0.1244,0.0098,https://www.msn.com,[]
240,blogs.wsj.com,-0.0746,0.1248,0.195,0.2316,0.404,0.0445,https://blogs.wsj.com,['https://twitter.com/WSJ']
241,wtvr.com,-0.0734,0.0691,0.153,0.7082,0.0661,0.0037,https://wtvr.com,['https://twitter.com/cbs6']
242,www.myfoxny.com,-0.0713,0.0157,0.3312,0.5468,0.0783,0.028,https://www.myfoxny.com,['https://twitter.com/fox5ny']
243,www.kptv.com,-0.0685,0.0064,0.1604,0.8088,0.0237,0.0007,https://www.kptv.com,['https://www.twitter.com/fox12oregon']
244,www.wral.com,-0.0685,0.1767,0.2693,0.3081,0.2208,0.0251,https://www.wral.com,['https://twitter.com/WRAL']
245,www.usatoday.com,-0.0635,0.0803,0.2209,0.515,0.165,0.0188,https://www.usatoday.com,['https://www.twitter.com/usatoday']
246,www.silive.com,-0.0627,0.0581,0.1643,0.5826,0.1877,0.0073,https://www.silive.com,['https://twitter.com/siadvance']
247,news.msn.com,-0.0623,0.0129,0.2379,0.6027,0.144,0.0025,https://news.msn.com,['down']
248,www.businessinsider.com,-0.0585,0.0562,0.2693,0.4515,0.144,0.0789,https://www.businessinsider.com,['https://twitter.com/BIDeutschland']
249,worldtruth.tv,-0.0491,0.001,0.0986,0.8306,0.0697,0.0001,https://worldtruth.tv,"['https://twitter.com/intent/tweet?text=Front&url=https%3A%2F%2Fworldtruth.tv%2F&via=WorldTruthTV', 'https://twitter.com/WorldTruthTV']"
250,www.brainfall.com,-0.0483,0.0005,0.0005,0.56,0.439,0.0,https://www.brainfall.com,['https://www.twitter.com/BrainFall']
251,gma.yahoo.com,-0.0472,0.0146,0.1902,0.6248,0.1653,0.0051,https://gma.yahoo.com,['https://twitter.com/gma']
252,www.c-span.org,-0.0442,0.1102,0.3374,0.2087,0.2203,0.1234,https://www.c-span.org,['https://twitter.com/cspan']
253,www.usnews.com,-0.0392,0.0825,0.2029,0.1388,0.2019,0.3739,https://www.usnews.com,['https://twitter.com/usnews']
254,kxan.com,-0.039,0.0608,0.1202,0.6763,0.1316,0.0112,https://kxan.com,[]
255,www.jrn.com,-0.0377,0.0369,0.141,0.5534,0.2397,0.0291,https://www.jrn.com,['down']
256,wnep.com,-0.0328,0.0125,0.1014,0.7843,0.0988,0.003,https://wnep.com,[]
257,www.9news.com,-0.032,0.0332,0.1355,0.6571,0.16,0.0143,https://www.9news.com,[]
258,www.wbaltv.com,-0.0221,0.034,0.2902,0.5514,0.1086,0.0159,https://www.wbaltv.com,[]
259,yfox8.com,-0.021,0.0073,0.1739,0.5759,0.2397,0.0032,https://yfox8.com,['down']
260,empirenews.net,-0.0158,0.0651,0.0697,0.2359,0.6291,0.0001,https://empirenews.net,[]
261,q13fox.com,-0.0132,0.0114,0.1315,0.7234,0.1253,0.0083,https://q13fox.com,"['https://twitter.com/fox13seattle', 'https://twitter.com/Studio13onFOX']"
262,www.thedenverchannel.com,-0.012,0.0429,0.1817,0.5704,0.1911,0.0139,https://www.thedenverchannel.com,['https://twitter.com/DenverChannel']
263,www.policestateusa.com,-0.0106,0.1203,0.028,0.7885,0.062,0.0011,https://www.policestateusa.com,[]
264,patch.com,-0.0102,0.0325,0.1333,0.6676,0.1421,0.0245,https://patch.com,['https://twitter.com/PatchTweet']
265,en.what-character-are-you.com,-0.009,0.0,0.0102,0.9898,0.0,0.0,https://en.what-character-are-you.com,[]
266,www.wtsp.com,-0.0038,0.028,0.306,0.5243,0.1213,0.0205,https://www.wtsp.com,[]
267,www.whio.com,-0.0029,0.0104,0.1408,0.6881,0.1502,0.0105,https://www.whio.com,['https://twitter.com/whiotv/']
268,www.quizony.com,-0.0018,0.2098,0.1305,0.053,0.0876,0.5191,https://www.quizony.com,[]
269,www.al.com,0.009,0.0999,0.1739,0.2678,0.4035,0.0549,https://www.al.com,['https://www.twitter.com/aldotcom/']
270,abc13.com,0.0097,0.0283,0.1498,0.6534,0.1644,0.0041,https://abc13.com,['https://twitter.com/ABC13Houston']
271,www.aol.com,0.0133,0.1762,0.2883,0.3116,0.1765,0.0474,https://www.aol.com,['https://twitter.com/AOL']
272,www.nationaljournal.com,0.0191,0.1802,0.1557,0.2037,0.2025,0.2579,https://www.nationaljournal.com,['https://twitter.com/nationaljournal']
273,fox59.com,0.0195,0.0108,0.1185,0.6819,0.1829,0.0059,https://fox59.com,[]
274,kdvr.com,0.0225,0.0411,0.1847,0.6127,0.1492,0.0124,https://kdvr.com,[]
275,www.ibtimes.co.uk,0.0264,0.0672,0.3565,0.1594,0.3504,0.0665,https://www.ibtimes.co.uk,['https://twitter.com/IBTimesUK']
276,www.telegraph.co.uk,0.0269,0.0449,0.2161,0.3433,0.323,0.0728,https://www.telegraph.co.uk,['https://twitter.com/@Telegraph']
277,www.amazon.com,0.0362,0.1249,0.1045,0.3318,0.2043,0.2345,https://www.amazon.com,[]
278,www.wfla.com,0.041,0.006,0.0931,0.6402,0.2525,0.0082,https://www.wfla.com,[]
279,www.azfamily.com,0.0439,0.0201,0.1375,0.5371,0.2922,0.0131,https://www.azfamily.com,['https://www.twitter.com/azfamily']
280,fox4kc.com,0.0444,0.0089,0.1016,0.795,0.0925,0.002,https://fox4kc.com,[]
281,news.yahoo.com,0.0493,0.026,0.2373,0.4892,0.2168,0.0308,https://news.yahoo.com,['https://twitter.com/YahooNews']
282,www.cnbc.com,0.0503,0.0662,0.1803,0.5125,0.1776,0.0635,https://www.cnbc.com,['https://www.twitter.com/cnbci?lang=en/']
283,fox13now.com,0.0538,0.0139,0.1027,0.6975,0.1551,0.0308,https://fox13now.com,['https://twitter.com/fox13']
284,www.forbes.com,0.0563,0.2931,0.1552,0.2036,0.2153,0.1327,https://www.forbes.com,"['https://twitter.com/intent/tweet?url=https%3A%2F%2Fwww.forbes.com/quote-of-the-day%2F03142023%3Futm_source=twitter%26utm_medium=qotd%26utm_campaign=03142023&text=Quote%20Of%20The%20Day%20via%20@Forbes', 'https://www.twitter.com/forbes/']"
