garden,basement,elevator,balcony,floor (storey),nmbr of rooms,sq_meters,construction year,price,unemployment,Anteil Gruenenwaehler,Berlin,Duesseldorf,Frankfurt,Hamburg,Koeln,Muenchen,Stuttgart
False,False,True,True,1.0,1.0,23.08,1986.0,99000.0,1,3,0,0,1,0,0,0,0
False,True,True,True,9.0,1.5,32.0,1971.0,131000.0,3,1,0,0,1,0,0,0,0
False,True,False,True,-1.0,1.0,25.06,1977.0,160000.0,1,1,0,0,1,0,0,0,0
False,True,True,False,4.0,1.0,29.0,1982.0,190000.0,1,1,0,0,1,0,0,0,0
False,True,True,True,4.0,1.0,31.4,1964.0,198000.0,3,3,0,0,1,0,0,0,0
False,False,True,False,1.0,1.0,32.1,1972.0,198000.0,1,1,0,0,1,0,0,0,0
False,True,True,False,1.0,2.0,52.0,1975.0,205000.0,1,2,0,0,1,0,0,0,0
True,False,True,False,2.0,1.0,20.1,2021.0,205000.0,2,1,0,0,1,0,0,0,0
False,True,False,False,1.0,2.0,52.0,1975.0,205000.0,1,2,0,0,1,0,0,0,0
False,False,False,True,5.0,2.0,48.0,1968.0,209000.0,3,1,0,0,1,0,0,0,0
False,True,False,True,2.0,2.0,50.0,1953.0,209000.0,2,1,0,0,1,0,0,0,0
False,False,True,True,8.0,1.0,37.0,1964.0,210000.0,1,3,0,0,1,0,0,0,0
False,True,True,False,1.0,1.0,20.0,1960.0,212000.0,1,1,0,0,1,0,0,0,0
False,True,True,True,-1.0,2.0,57.66,1990.0,216000.0,1,1,0,0,1,0,0,0,0
False,True,True,False,7.0,2.0,64.0,1973.0,219000.0,3,1,0,0,1,0,0,0,0
False,False,False,True,1.0,1.0,24.73,2021.0,220000.0,1,1,0,0,1,0,0,0,0
False,True,False,False,3.0,2.0,48.0,2002.0,223000.0,1,1,0,0,1,0,0,0,0
False,False,False,False,5.0,3.0,77.0,1974.0,229000.0,3,1,0,0,1,0,0,0,0
False,False,True,False,10.0,2.0,68.0,1973.0,249000.0,2,1,0,0,1,0,0,0,0
True,False,True,False,6.0,1.0,20.5,2021.0,249000.0,2,1,0,0,1,0,0,0,0
